TEMP,TNMFRC,PERMANENT_,SOURCE_FEA,SOURCE_DAT,SOURCE_D00,SOURCE_ORI,LOADDATE,INTERSTATE,INTERSTA00,INTERSTA01,INTERSTA02,US_ROUTE,US_ROUTE_A,US_ROUTE_B,US_ROUTE_C,STATE_ROUT,STATE_RO00,STATE_RO01,STATE_RO02,COUNTY_ROU,FEDERAL_LA,STCO_FIPSC,FULL_STREE,MTFCC_CODE,SHAPE_LENG
661911,4,3fc7896e-b04b-4808-ba49-e6cfba852525,110686370069,{F27AAE8E-8459-46CE-926B-6F515BE7874F},2016 BAS Tiger/Line Shapefiles Release,"U.S Department of Commerce, U.S. Census Bureau, Geography Division",20151208135408,,,,,,,,,,,,,,,48113,Hidalgo St,S1400,0.000826504147621694
661912,4,184ac88a-5ab1-4aa8-b63c-08d9015425bf,110686351860,{F27AAE8E-8459-46CE-926B-6F515BE7874F},2016 BAS Tiger/Line Shapefiles Release,"U.S Department of Commerce, U.S. Census Bureau, Geography Division",20151208112204,,,,,,,,,,,,,,,48113,Balboa St,S1400,0.00121034621789847
662132,4,173fed56-4c6a-4c90-b09d-8fc74f5d2ca8,110686373597,{F27AAE8E-8459-46CE-926B-6F515BE7874F},2016 BAS Tiger/Line Shapefiles Release,"U.S Department of Commerce, U.S. Census Bureau, Geography Division",20151208131819,,,,,,,,,,,,,,,48113,Science Dr,S1400,0.000271007379516453
662133,5,722ff717-2df0-45e6-bb84-2ddbad3f6f8a,1105317260657,{F27AAE8E-8459-46CE-926B-6F515BE7874F},2016 BAS Tiger/Line Shapefiles Release,"U.S Department of Commerce, U.S. Census Bureau, Geography Division",20151208133841,,,,,,,,,,,,,,,48113,,S1630,6.50691938324888e-005
662134,4,be059d0a-dfaa-44db-a100-71f4a2bba808,110686405156,{F27AAE8E-8459-46CE-926B-6F515BE7874F},2016 BAS Tiger/Line Shapefiles Release,"U.S Department of Commerce, U.S. Census Bureau, Geography Division",20151208120640,,,,,,,,,,,,,,,48113,Tom Braniff Dr,S1400,0.000139057541865822
662135,4,158a45bc-8ce2-4da1-9375-0a63767dbfd4,110686405158,{F27AAE8E-8459-46CE-926B-6F515BE7874F},2016 BAS Tiger/Line Shapefiles Release,"U.S Department of Commerce, U.S. Census Bureau, Geography Division",20151208111136,,,,,,,,,,,,,,,48113,Tom Braniff Dr,S1400,0.0007273800642336
749058,4,b19939c8-f36c-450e-ae43-67461ba73c99,110686364018,{F27AAE8E-8459-46CE-926B-6F515BE7874F},2016 BAS Tiger/Line Shapefiles Release,"U.S Department of Commerce, U.S. Census Bureau, Geography Division",20151208124518,,,,,,,,,,,,,,,48113,Sonora Ct,S1400,0.00162431734476963
749291,4,2b067cbe-6767-4581-ad0c-7a2df5315d11,110686405156,{F27AAE8E-8459-46CE-926B-6F515BE7874F},2016 BAS Tiger/Line Shapefiles Release,"U.S Department of Commerce, U.S. Census Bureau, Geography Division",20151208120640,,,,,,,,,,,,,,,48113,Tom Braniff Dr,S1400,0.00303855768559967
836053,4,604d19f7-71bf-47e3-bbd9-8f5fb32527fd,110686411385,{F27AAE8E-8459-46CE-926B-6F515BE7874F},2016 BAS Tiger/Line Shapefiles Release,"U.S Department of Commerce, U.S. Census Bureau, Geography Division",20151208123731,,,,,,,,,,,,,,,48113,University Park Ln,S1740,0.000983405256056879
836318,4,4da2343e-035d-4861-a8b2-a4c7b309585e,110686356838,{F27AAE8E-8459-46CE-926B-6F515BE7874F},2016 BAS Tiger/Line Shapefiles Release,"U.S Department of Commerce, U.S. Census Bureau, Geography Division",20151208114649,,,,,,,,,,,,,,,48113,Gorman Dr,S1400,0.0010213341145747
